Com1	Com2	Com4	D1	D2	D3	D4	MI1	MI2	MI3	MI4
KLHL17	44.2769956047114	47.1552671713006	41.8275253945456	33.7274331638156	32.6355411512024	40.164686657761	33.0821624768275	42.1532352327594	41.9300889764557	34.3597910071663	34.6431835365558
PLEKHN1	2.99457941287903	3.44791200822413	3.22038243861318	0.755336867349328	0.998584012971423	1.2595197906615	0.977110284125707	1.74070279420993	1.80249149229302	1.00320557685157	0.834775506904959
HES4	1.56858921626997	1.72395600411206	1.0859429153463	4.07225093701377	4.81135933522595	5.78446126081576	4.93208048177738	3.01094537376853	3.27994353515615	2.88421603344826	2.58780407140537
ISG15	6.79721993716987	6.74371025137954	7.6764930222756	7.78325380703438	7.67094082691684	7.97695867418947	7.67729508955913	6.91576515537459	7.68275062288829	7.23144019980507	7.01211425800166
AGRN	114.625845304092	137.206616091978	124.321740653439	107.126472230153	110.116582521303	117.321936056062	95.0588719270867	136.151186120096	140.594336398856	120.217468292713	120.833754624493
C1orf159	23.6239042571568	21.7522684048257	20.4082375470254	22.4302208869387	24.4653083177999	25.7501823868572	23.6367630636123	24.1816550330785	24.8211943201006	24.244134773913	26.0032570400895
SDF4	140.816531915145	151.150377889943	151.6200987668	159.638804877612	156.550739124474	161.358479848078	150.614570938805	153.464122019265	160.273997609793	151.525842336956	155.101289182941
B3GALT6	55.019455085833	69.4652860480449	74.7053833143406	75.0410757344876	72.9874133117295	80.6559154834713	81.6585023162198	68.3578691888386	72.011012569149	76.7034263967763	75.9645711283513
C1QTNF12	1.18832516384089	1.57184223904335	1.19828183762351	1.54351446806167	1.72482693149609	2.28579517564494	1.62851714020951	1.31728860102373	1.68429532886397	1.46300813290854	1.62781223846467
UBE2J2	84.0383555868274	89.1386663302649	91.9306847301785	97.5041373547893	90.4172433563216	96.4698861884434	99.0138421247383	80.7780188556338	81.230313316615	84.6872707792201	84.7297139508533
LINC01786	1.94885326869905	1.31831929726217	1.64763752673232	1.31362933452057	1.1347545601948	1.30616867179711	1.34934277331645	1.64661075127966	1.7433934105785	1.67200929475262	1.83650611519091
SCNN1D	1.97261977197587	3.09297988973047	2.24677844554408	2.20032913532196	2.2695091203896	2.84558174927227	1.48892995676298	3.95186580307119	3.36859065772794	2.67521487160419	2.75475917278636
ACAP3	108.51785396195	110.079661321391	100.618228052949	68.3744068617957	72.2611703932048	83.4081994704724	71.6082251080697	84.3064704655188	83.594236585196	73.7774101309592	79.7210609094236
PUSL1	20.8194568704923	23.8818611157877	22.5426770702922	28.0459862920142	27.8695719983843	29.7619861645198	27.4986751389663	21.7823079383567	21.9253883160889	22.1123229231034	22.4554611357434
INTS11	112.415560499348	107.950068610429	103.801164184136	115.894948038077	122.780443413077	124.45921486981	116.834472544745	105.336042060433	106.997076944148	113.61303157844	113.487730163729
CPTP	20.7006243541082	22.2593142883881	19.9963281653423	16.026277881151	14.842589647348	16.8402460899555	13.8656602223553	16.1367853625407	18.5272486175037	17.6396980596401	17.6137631956946
TAS1R3	1.40222369333225	2.43382024109938	0.936157685643366	1.70771813487674	1.95177784353505	1.91260412656005	1.90769150710257	2.16411698739613	1.32970683857682	1.6302090623838	1.87824489053616
DVL1	79.8792175133844	77.9836568918927	80.3972220430522	88.8013430135906	97.6342823591605	98.8956280074952	96.3616856392543	88.6817504617761	93.2272239046636	84.2274682231631	83.6862445672221
MXRA8	6.46448889129442	7.909915783573	6.06630180296901	9.12972387491796	12.3007394325116	11.0091359480042	9.95721908585245	15.3370029976334	13.2970683857682	11.8712659927436	12.6051101542649
AURKAIP1	83.1352284623084	94.7668756378072	103.464147417305	156.059164941044	143.296805861399	152.681787956855	156.151529215518	107.923573241016	115.920887283041	120.175668060344	120.917232175183
CCNL2	181.742450557825	184.006951144785	175.772967056398	177.996774827537	177.20327212002	195.318865314803	194.212301235272	223.609740023778	224.927299005483	219.325819239175	222.759844017588
