Com1	Com2	Com4	D1	D2	D4	MI1	MI2	MI4
ACAP3	109.482253063127	110.691321488216	101.037298341731	69.4763466553569	72.9530451700389	72.5210271438837	83.6961466148995	82.7941157913038	78.9109134809028
PUSL1	21.0044795627024	24.0145612256793	22.63656628274	28.497982729911	28.1364131497512	27.8492053554485	21.624618238113	21.7155298399249	22.2272625406941
INTS11	113.414598552035	108.549895646436	104.233491255407	117.762741280862	123.956022101102	118.323781129495	104.573477829665	105.972956267342	112.33443652072
CPTP	20.8845909807235	22.3829986795609	20.0796119517993	16.2845615599492	14.9847021172128	14.0424081149301	16.0199655630081	18.3499153768637	17.4347672716968
TAS1R3	1.41468526735096	2.44734381917751	0.940056739316445	1.73524016622409	1.97046541602492	1.93200917017494	2.14845019212354	1.31697957250218	1.85915764745582
DVL1	80.5891048062133	78.4169748728126	80.7320727724963	90.2324886436527	98.5690955783628	97.5900241812757	88.0397524381058	92.334901138764	82.835801847754
MXRA8	6.5219388596519	7.95386741232689	6.09156767077056	9.27686088865956	12.4185145986687	10.0841454248155	15.2259731007016	13.1697957250218	12.477013545148
AURKAIP1	83.874051952435	95.2934499592241	103.895070829253	158.574255190325	144.668821357923	158.142018905051	107.142276972422	114.811352509468	119.688437881767
CCNL2	183.357597278522	185.029389995733	176.505053374056	180.865417325665	178.899929864216	196.687957958785	221.990951373112	222.774411241924	220.496096988261
MRPL20-AS1	27.5503961387501	29.3171395005639	28.0136908316301	24.5936923559068	26.3950716193105	27.3779836066254	25.9682240613193	27.890700724324	27.3089601104067
MRPL20	38.1005913528929	44.1541614043275	50.7254616535154	73.7143370613272	69.5161868862745	72.1911719197075	51.1891610992912	52.1231248583641	56.8075947833724
ATAD3B	62.4139957782128	69.3923945395955	63.8862560039456	72.946826987805	66.3084524880944	74.0289367401178	57.681217114621	59.1470159117091	63.252674627886
ATAD3A	85.3127149361818	89.2260767408466	95.6977760624141	133.546752792862	128.401025481438	126.947139132958	90.561846141903	97.3394235142723	105.930671290594
TMEM240	1.79832872968343	1.22367190958875	1.31607943504302	2.26916021736996	2.29123885584293	2.63884179340968	2.19515563108274	1.81450518878078	1.7352138042921
SSU72	89.0292609775275	100.188137597579	105.135945725151	143.491013745454	143.477377152884	140.188470274889	112.233169818975	122.244970540925	114.482796468891
FNDC10	6.80967145640124	8.10682640102549	7.29484029709561	13.7150713138096	16.8176932018871	14.2780189893416	17.8414776824172	18.7596423549755	17.4760818860848
